accuracy,loss,val_accuracy,val_loss,learning_rate
0.950827956199646,0.18765178322792053,0.9890322685241699,0.036544688045978546,0.0010000000474974513
0.9877351522445679,0.03819919377565384,0.992120623588562,0.025565680116415024,0.0010000000474974513
0.9911666512489319,0.026589255779981613,0.9931913614273071,0.020276764407753944,0.0010000000474974513
0.9929589629173279,0.020565420389175415,0.9945880770683289,0.014857307076454163,0.0010000000474974513
0.9930492639541626,0.02028707042336464,0.9936246871948242,0.018250318244099617,0.0010000000474974513
0.9947612881660461,0.016411831602454185,0.9964120984077454,0.010502592660486698,0.0010000000474974513
0.9935840964317322,0.018867531791329384,0.9950273633003235,0.015826450660824776,0.0010000000474974513
0.9951247572898865,0.014430851675570011,0.9966229796409607,0.010615780018270016,0.0010000000474974513
0.9980053305625916,0.006435441318899393,0.9975258111953735,0.007026697974652052,0.0005000000237487257
0.997388482093811,0.007618004456162453,0.998212456703186,0.005819140467792749,0.0005000000237487257
0.997426450252533,0.008038773201406002,0.9983511567115784,0.0052825105376541615,0.0005000000237487257
0.997833788394928,0.006013570819050074,0.9983327388763428,0.005054182838648558,0.0005000000237487257
0.9980454444885254,0.005337600130587816,0.996833086013794,0.009062583558261395,0.0005000000237487257
0.9973475337028503,0.008254539221525192,0.9983993768692017,0.005097168497741222,0.0005000000237487257
0.9988437294960022,0.0035393256694078445,0.9986881613731384,0.003859605873003602,0.0002500000118743628
0.9988057613372803,0.0033520779106765985,0.998664140701294,0.003702042391523719,0.0002500000118743628
0.9987487196922302,0.0036142775788903236,0.9986221790313721,0.0036556003615260124,0.0002500000118743628
0.9987414479255676,0.0035008485428988934,0.9988569617271423,0.0032882997766137123,0.0002500000118743628
0.9989336729049683,0.0028731063939630985,0.9989169239997864,0.0031428129877895117,0.0002500000118743628
0.9987789392471313,0.0034186416305601597,0.9987483620643616,0.0033281021751463413,0.0002500000118743628
