accuracy,loss,val_accuracy,val_loss,learning_rate
0.5560990571975708,1.496621012687683,0.5566093921661377,1.628341794013977,0.0010000000474974513
0.6834301352500916,0.9686496257781982,0.6656787395477295,0.9061866402626038,0.0010000000474974513
0.7378477454185486,0.797386646270752,0.3858921229839325,3.281898260116577,0.0010000000474974513
0.7701008915901184,0.6801021099090576,0.8233550786972046,0.5593553781509399,0.0010000000474974513
0.7879089117050171,0.6218342185020447,0.7065797448158264,0.928515613079071,0.0010000000474974513
0.805411159992218,0.5650047659873962,0.785417914390564,0.7708483338356018,0.0010000000474974513
0.8555487394332886,0.41566646099090576,0.8737403750419617,0.43986234068870544,0.0005000000237487257
0.8703760504722595,0.3807589113712311,0.8381742835044861,0.49273374676704407,0.0005000000237487257
0.8774839639663696,0.35015952587127686,0.8061648011207581,0.7390136122703552,0.0005000000237487257
0.9030113220214844,0.27146533131599426,0.9116775393486023,0.29313379526138306,0.0002500000118743628
