filename,fruit_type,count,subset
0_jpg.rf.53cd6f00dbe38182d17848dd9524582c.jpg,apple,8,train
0_jpg.rf.a76bbc8ffea6e6b6d32b6393c2e63e69.jpg,apple,8,train
0_jpg.rf.ffb7446b0a507ff4765a92a39ecd519e.jpg,apple,8,train
100_jpg.rf.414ccf08f15cff8ffce7137b0f89d444.jpg,apple,11,train
100_jpg.rf.8300d6bfed5f7a229405b9d70b5112b5.jpg,apple,11,train
100_jpg.rf.f348cc6361e0b8aaf98c615979dd32e4.jpg,apple,11,train
101_jpg.rf.0d612c0d9c9b186cd78f101146b801c5.jpg,apple,21,train
101_jpg.rf.c38bc662fa7a9c5ffa0a49fa971495ef.jpg,apple,21,train
101_jpg.rf.f65449b636710a5852605ecf1f438076.jpg,apple,21,train
102_jpg.rf.3c5a3bdc7b3ce234cadf6e7b91458c52.jpg,apple,17,train
102_jpg.rf.7b5166a93cc2a5d3f5ab82047f7a2b7f.jpg,apple,17,train
102_jpg.rf.aa8aff70a30d6f46ea836ecc692e4e11.jpg,apple,17,train
103_jpg.rf.67d984ba489bf6d47a6eb719cd10a7fd.jpg,apple,3,train
103_jpg.rf.bd271df31d22ee7a62c505aec7fb638a.jpg,apple,3,train
104_jpg.rf.90caf3d595144f9ca0aad43a659ea766.jpg,apple,47,train
104_jpg.rf.aa93aedd47f60785ca05c7ad6f924365.jpg,apple,47,train
104_jpg.rf.e94203ffd1d87f79576d69153a0c128e.jpg,apple,47,train
105_jpg.rf.40a291fa73d9d4b15b619fc35cbd389d.jpg,apple,10,train
105_jpg.rf.675f1df3ced7133748362543fedd1434.jpg,apple,10,train
105_jpg.rf.db6f532c388f52db5e0bf6a9f5d6ba7f.jpg,apple,10,train
107_jpg.rf.16676c66f42e3e27d181cf45b9a60a9d.jpg,apple,4,train
107_jpg.rf.7747063f958e7a4ab68b6709c2906e89.jpg,apple,4,train
107_jpg.rf.d42bf72d0fc2251a1533a9e9490908c4.jpg,apple,4,train
10_jpg.rf.2050fbc9b270561c27de88e5f517eac0.jpg,apple,6,train
10_jpg.rf.a19826d49aae48a7e2e6f16c5e5a78c5.jpg,apple,6,train
10_jpg.rf.d5705e8ed7bff6e24b0a7821cbab3c1b.jpg,apple,6,train
111_jpg.rf.1db2ab605f9dba9b1a1aa279df889938.jpg,apple,12,train
111_jpg.rf.326d624eefb7ca0d5ce5b534f089f82b.jpg,apple,12,train
111_jpg.rf.9f6cb11f752e15243b8087b800c7254a.jpg,apple,12,train
112_jpg.rf.3bef67d9f7b8cfed023754d15a767a43.jpg,apple,1,train
112_jpg.rf.c255806fa7de3bdad44721e8ec525e09.jpg,apple,1,train
112_jpg.rf.d92227f607c5968c664dfb6df2ec75b2.jpg,apple,1,train
113_jpg.rf.434f78d3c1c5eca3702918509fbe4a74.jpg,apple,7,train
113_jpg.rf.90852c42871ea790b0e3f42ecec618b6.jpg,apple,7,train
113_jpg.rf.fc42de451fd6e7fd844af3b51e9f4828.jpg,apple,7,train
116_jpg.rf.430cea3bdb3b1713b11a02bf9b2c5f60.jpg,apple,26,train
116_jpg.rf.7982f22d44092240495cff1cbc787570.jpg,apple,26,train
116_jpg.rf.96be0ada72c7b85124a83e11c257c975.jpg,apple,26,train
117_jpg.rf.34546e28936f40e949bee2371b011c58.jpg,apple,2,train
117_jpg.rf.962f02cf647b2ab983efc7a85a10230f.jpg,apple,2,train
117_jpg.rf.bef4a37383101ed7975d9d4e5b5160ce.jpg,apple,2,train
118_jpg.rf.990c68cc88c9352a782a97377109a22a.jpg,apple,13,train
118_jpg.rf.bb6127ff069e582e76e820763e1c7b44.jpg,apple,13,train
118_jpg.rf.c7594251e66b04c4fd3f52e97a1e98cf.jpg,apple,13,train
